EP:0, Avg_Score:227.4
EP:1, Avg_Score:-2032.1
EP:2, Avg_Score:1.0
EP:3, Avg_Score:-1100.3
EP:4, Avg_Score:-1031.3
EP:5, Avg_Score:1337.9
EP:6, Avg_Score:-149.4
EP:7, Avg_Score:2262.2
EP:8, Avg_Score:1335.3
EP:9, Avg_Score:1195.6
EP:10, Avg_Score:-1887.8
EP:11, Avg_Score:1264.0
Start learning
EP:12, Avg_Score:624.5
EP:13, Avg_Score:840.8
EP:14, Avg_Score:-901.9
EP:15, Avg_Score:-2663.2
EP:16, Avg_Score:-1148.7
EP:17, Avg_Score:-1230.4
EP:18, Avg_Score:2751.2
EP:19, Avg_Score:-2061.1
EP:20, Avg_Score:1383.6
EP:21, Avg_Score:2296.0
EP:22, Avg_Score:2107.7
EP:23, Avg_Score:1803.4
EP:24, Avg_Score:1848.4
EP:25, Avg_Score:-1891.8
EP:26, Avg_Score:2141.6
EP:27, Avg_Score:167.0
EP:28, Avg_Score:1428.6
EP:29, Avg_Score:-1255.4
EP:30, Avg_Score:1350.1
EP:31, Avg_Score:1539.5
EP:32, Avg_Score:1558.4
EP:33, Avg_Score:2111.8
EP:34, Avg_Score:1012.4
EP:35, Avg_Score:-235.9
EP:36, Avg_Score:1398.6
EP:37, Avg_Score:868.8
EP:38, Avg_Score:868.2
EP:39, Avg_Score:700.4
EP:40, Avg_Score:933.6
EP:41, Avg_Score:-2131.9
EP:42, Avg_Score:-1034.1
EP:43, Avg_Score:1180.1
EP:44, Avg_Score:656.4
EP:45, Avg_Score:1128.0
EP:46, Avg_Score:1707.6
EP:47, Avg_Score:254.4
EP:48, Avg_Score:136.4
EP:49, Avg_Score:571.6
EP:50, Avg_Score:-528.8
EP:51, Avg_Score:2183.6
EP:52, Avg_Score:1314.6
EP:53, Avg_Score:929.7
EP:54, Avg_Score:997.8
EP:55, Avg_Score:3121.4
EP:56, Avg_Score:747.2
EP:57, Avg_Score:2251.8
EP:58, Avg_Score:-92.3
EP:59, Avg_Score:2079.2
EP:60, Avg_Score:1621.1
EP:61, Avg_Score:1682.7
EP:62, Avg_Score:1183.1
EP:63, Avg_Score:54.4
EP:64, Avg_Score:965.3
EP:65, Avg_Score:-120.4
EP:66, Avg_Score:1201.9
EP:67, Avg_Score:1841.4
EP:68, Avg_Score:2205.1
EP:69, Avg_Score:1330.8
EP:70, Avg_Score:2517.8
EP:71, Avg_Score:1890.3
EP:72, Avg_Score:2386.8
EP:73, Avg_Score:1181.1
EP:74, Avg_Score:883.1
EP:75, Avg_Score:1961.8
EP:76, Avg_Score:3179.2
EP:77, Avg_Score:2014.5
EP:78, Avg_Score:2456.1
EP:79, Avg_Score:1536.5
EP:80, Avg_Score:2794.0
EP:81, Avg_Score:1630.2
EP:82, Avg_Score:1801.2
EP:83, Avg_Score:775.5
EP:84, Avg_Score:1683.0
EP:85, Avg_Score:538.3
EP:86, Avg_Score:43.3
EP:87, Avg_Score:1932.1
EP:88, Avg_Score:1657.1
EP:89, Avg_Score:872.1
EP:90, Avg_Score:-1385.4
EP:91, Avg_Score:746.3
EP:92, Avg_Score:963.9
EP:93, Avg_Score:2128.9
EP:94, Avg_Score:1652.1
EP:95, Avg_Score:2062.1
EP:96, Avg_Score:963.1
EP:97, Avg_Score:1185.9
EP:98, Avg_Score:2913.4
EP:99, Avg_Score:1867.8
